id,branch_code,tag_id,asset_id,asset_name,invoice_cost,total_cost,salvage_value,date_of_purchase,vendor_id,vendor,part_warranty,service_warranty,serial_no,generic_name,custom_field,life_in_year,dep_type,last_scan_date,net_value,remaining_years,salvage,last_year_bv,current_dep,total_dep,location
1,FR10001,G2801B602000738EA10909F9,FR10001033,COUNTING MACHINE,135000,138000,13800,3/9/2022,AB1210,FINTECH,24 MONTHS,24 MONTHS,,,,,1,,138000,,,,,,GF
2,FR10001,G2801B602000639EA10909F9,FR10001034,COUNTING MACHINE,135000,138000,13800,3/9/2022,AB1210,FINTECH,24 MONTHS,24 MONTHS,,,,,1,,138000,,,,,,1st Floor
3,FR10001,G2801B60200063AEA10909F9,FR10001035,COUNTING MACHINE,157000,162000,16200,3/9/2022,AB1210,FINTECH,24 MONTHS,24 MONTHS,,,,,1,,162000,,,,,,1st Floor
4,FR10001,G2801B60200073BEA10909F9,FR10001036,COUNTING MACHINE,157000,162000,16200,3/9/2022,AB1210,FINTECH,24 MONTHS,24 MONTHS,,,,,1,,162000,,,,,,1st Floor
5,FR10001,G2801B60200063CEA10909F9,FR10001037,COUNTING MACHINE,135000,138000,13800,12/3/2015,AB1210,FINTECH,24 MONTHS,24 MONTHS,,,,,1,,138000,,,,,,1st Floor
6,FR10001,G2801B60200073DEA10909F9,FR10001038,COUNTING MACHINE,157000,162000,16200,10/1/2020,AB1210,FINTECH,24 MONTHS,24 MONTHS,,,,16,1,,162000,13,,,,,Ground Floor
7,FR10001,G2801B60200073EEA10909F9,FR10001039,COUNTING MACHINE,135000,138000,13800,3/9/2022,AB1210,FINTECH,24 MONTHS,24 MONTHS,,,,16,1,,138000,15,,,,,Ground Floor
8,FR10001,G2801B60200063FEA10909F9,FR10001040,COUNTING MACHINE,135000,138000,13800,3/9/2022,AB1210,FINTECH,24 MONTHS,24 MONTHS,,,,16,1,,138000,15,,,,,Ground Floor
9,FR10001,G2801B602000750EA10D09F9,FR10001041,COUNTING MACHINE,157000,162000,16200,3/9/2022,AB1210,FINTECH,24 MONTHS,24 MONTHS,,,,16,1,,162000,15,,,,,Second Floor
10,FR10001,G2801B602000651EA10D09F9,FR10001042,COUNTING MACHINE,157000,162000,16200,3/9/2022,AB1210,FINTECH,24 MONTHS,24 MONTHS,,,,16,1,,162000,15,,,,,Second Floor
11,FR10001,G2801B602000652EA10D09F9,FR10001043,COUNTING MACHINE,135000,138000,13800,12/3/2015,AB1210,FINTECH,24 MONTHS,24 MONTHS,,,,16,1,,138000,9,,,,,Second Floor
12,FR10001,G2801B602000753EA10D09F9,FR10001044,COUNTING MACHINE,157000,162000,16200,10/1/2020,AB1210,FINTECH,24 MONTHS,24 MONTHS,,,,16,1,,162000,13,,,,,Second Floor
13,FR10001,G2801B60200071DEA11509F9,FR10001069,DELL CPU,67000,76000,7600,3/9/2022,AB1712,COMPUTECH,24 MONTHS,24 MONTHS,,,,16,1,,76000,15,,,,,1st Floor
14,FR10001,G2801B60200071EEA11509F9,FR10001070,DELL CPU,67000,76000,7600,3/9/2022,AB1712,COMPUTECH,24 MONTHS,24 MONTHS,,,,16,1,,76000,15,,,,,Ground Floor
15,FR10001,G2801B60200061FEA11509F9,FR10001071,DELL CPU,67000,76000,7600,3/9/2022,AB1712,COMPUTECH,24 MONTHS,24 MONTHS,,,,16,1,,76000,15,,,,,Ground Floor
16,FR10001,G2801B602000630EA11709F9,FR10001072,DELL CPU,67000,76000,7600,3/9/2022,AB1712,COMPUTECH,24 MONTHS,24 MONTHS,,,,16,1,,76000,15,,,,,Ground Floor
17,FR10001,G2801B602000731EA11709F9,FR10001073,DELL CPU,67000,76000,7600,3/9/2022,AB1712,COMPUTECH,24 MONTHS,24 MONTHS,,,,16,1,,76000,15,,,,,Ground Floor
18,FR10001,G2801B602000732EA11709F9,FR10001074,DELL CPU,67000,76000,7600,3/9/2022,AB1712,COMPUTECH,24 MONTHS,24 MONTHS,,,,16,1,,76000,15,,,,,GF
19,FR10001,G2801B602000633EA11709F9,FR10001075,DELL CPU,65000,73500,7350,3/9/2022,AB1712,COMPUTER ONE,24 MONTHS,24 MONTHS,,,,16,1,,73500,15,,,,,GF 
