tag_id,asset_id
G2801D602000657DA10D09F9,FR10009001
G2801D602000756DA10D09F9,FR10009002
G2801D602000755DA10D09F9,FR10009003
G2801D602000654DA10D09F9,FR10009004
G2801D602000753DA10D09F9,FR10009005
G2801D602000652DA10D09F9,FR10009006
G2801D602000651DA10D09F9,FR10009007
G2801D602000750DA10D09F9,FR10009008
G2801D60200063FDA10909F9,FR10009009
G2801D60200073EDA10909F9,FR10009010
G2801D60200073DDA10909F9,FR10009011
G2801D60200063CDA10909F9,FR10009012
G2801D60200073BDA10909F9,FR10009013
G2801D60200063ADA10909F9,FR10009014
G2801D602000639DA10909F9,FR10009015
G2801D602000738DA10909F9,FR10009016
G2801D602000737DA10909F9,FR10009017
G2801D602000636DA10909F9,FR10009018
G2801E602000611EA10609F9,FR10005010
G2801E602000612EA10609F9,FR10005011
G2801E602000713EA10609F9,FR10005012
G2801E602000614EA10609F9,FR10005013
G2801E602000715EA10609F9,FR10005014
G2801E602000716EA10609F9,FR10005015
ddd,eee
