ID,EPC,PC,Count,RSSI,RISS
1,E2 80 11 70 00 00 02 0A 7A 6B 49 F3,34 00,13,-60,916.5
2,E2 80 11 70 00 00 02 0A 7A 6A 33 D4,34 00,20,-63,904.5
3,E2 80 11 70 00 00 02 0A 7A 6B 1D 94,34 00,26,-58,909
4,E2 80 11 70 00 00 02 0A 7A 6A 9B 14,34 00,27,-56,922
5,E2 80 11 70 00 00 02 0A 7A 6A B5 63,34 00,47,-60,907
6,E2 80 11 70 00 00 02 0A 7A 6B 49 94,34 00,20,-52,913.5
7,E2 80 11 70 00 00 02 0A 7A 6B 7D 73,34 00,28,-49,902
8,E2 80 11 70 00 00 02 0A 7A 6A B5 53,34 00,22,-61,903
9,E2 80 11 70 00 00 02 0A 7A 6A 33 44,34 00,16,-54,908
10,E2 80 11 70 00 00 02 0A 7A 6A 4D 85,34 00,25,-59,906.5
11,E2 80 11 70 00 00 02 0A 7A 6A B5 04,34 00,43,-64,916
12,E2 80 11 70 00 00 02 0A 7A 6B 1D 04,34 00,34,-61,915
13,E2 80 11 70 00 00 02 0A 7A 6B 63 F4,34 00,59,-57,912
14,E2 80 11 70 00 00 02 0A 7A 6A 11 84,34 00,47,-64,915
15,E2 80 11 70 00 00 02 0A 7A 6B 63 D3,34 00,59,-55,908
16,E2 80 11 70 00 00 02 0A 7A 6A E1 D3,34 00,39,-63,906.5
17,E2 80 11 70 00 00 02 0A 7A 6A 79 74,34 00,37,-61,921
18,E2 80 11 70 00 00 02 0A 7A 6A 11 35,34 00,20,-59,903.5
19,E2 80 11 70 00 00 02 0A 7A 6A E1 64,34 00,34,-59,915.5
20,E2 80 11 70 00 00 02 0A 7A 6A 33 34,34 00,25,-50,917
21,E2 80 11 70 00 00 02 0A 7A 6B 63 44,34 00,40,-59,910
22,E2 80 11 70 00 00 02 0A 7A 6A 33 D5,34 00,42,-58,927.5
23,E2 80 11 70 00 00 02 0A 7A 6B 03 B3,34 00,32,-60,917.5
24,E2 80 11 70 00 00 02 0A 7A 6A B5 B4,34 00,34,-52,907.5
25,E2 80 11 70 00 00 02 0A 7A 6B 63 54,34 00,38,-61,918.5
26,E2 80 11 70 00 00 02 0A 7A 6B 03 F4,34 00,51,-54,904
27,E2 80 11 70 00 00 02 0A 7A 6B 49 84,34 00,47,-58,904
28,E2 80 11 70 00 00 02 0A 7A 6B 7D C4,34 00,51,-58,915.5
29,E2 80 11 70 00 00 02 0A 7A 6A 11 45,34 00,60,-56,914
30,E2 80 11 70 00 00 02 0A 7A 6B 63 E4,34 00,35,-56,915.5
31,E2 80 11 70 00 00 02 0A 7A 6A 11 74,34 00,40,-61,903
32,E2 80 11 70 00 00 02 0A 7A 6A 79 84,34 00,78,-61,907
33,E2 80 11 70 00 00 02 0A 7A 6B 03 34,34 00,55,-60,911.5
34,E2 80 11 70 00 00 02 0A 7A 6B 63 C3,34 00,40,-57,916
35,E2 80 11 70 00 00 02 0A 7A 6B 49 E3,34 00,4,-36,905.5
36,E2 80 11 70 00 00 02 0A 7A 6B 49 23,34 00,30,-59,926
37,E2 80 11 70 00 00 02 0A 7A 6B 03 A3,34 00,17,-57,908
38,E2 80 11 70 00 00 02 0A 7A 6A E1 43,34 00,28,-56,909
39,E2 80 11 70 00 00 02 0A 7A 6A E1 54,34 00,20,-63,925
40,E2 80 11 70 00 00 02 0A 7A 6B 1D 93,34 00,22,-59,904.5
41,E2 80 11 70 00 00 02 0A 7A 6A E1 33,34 00,38,-61,921
42,E2 80 11 70 00 00 02 0A 7A 6A 33 05,34 00,18,-56,909
43,E2 80 11 70 00 00 02 0A 7A 6A 4D B4,34 00,33,-57,909
44,E2 80 11 70 00 00 02 0A 7A 6A 9B F4,34 00,27,-61,911
45,E2 80 11 70 00 00 02 0A 7A 6A 33 E5,34 00,33,-57,914.5
46,E2 80 11 70 00 00 02 0A 7A 6A 11 F5,34 00,39,-62,915.5
47,E2 80 11 70 00 00 02 0A 7A 6B 48 F1,34 00,73,-66,914.5
48,E2 80 11 70 00 00 02 0A 7A 6B A8 90,34 00,48,-55,906.5
